Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Certainty.Level,Modification,Motivation,Last.Manual.Present.Natural.Modification,Number.Cells.Current.Range,Number.Cells.Present.Natural.Range,Change.In.Cells
Crocidura_nimbae,Eulipotyphla,Soricidae,Crocidura,nimbae,0) Present Natural range identical to IUCN range,None,NA,NA,16,16,0
Crocidura_niobe,Eulipotyphla,Soricidae,Crocidura,niobe,0) Present Natural range identical to IUCN range,None,NA,NA,12,12,0
Crocidura_obscurior,Eulipotyphla,Soricidae,Crocidura,obscurior,0) Present Natural range identical to IUCN range,None,NA,NA,65,65,0
Crocidura_olivieri,Eulipotyphla,Soricidae,Crocidura,olivieri,0) Present Natural range identical to IUCN range,None,NA,NA,1846,1846,0
Crocidura_orientalis,Eulipotyphla,Soricidae,Crocidura,orientalis,0) Present Natural range identical to IUCN range,None,NA,NA,6,6,0
Crocidura_orii,Eulipotyphla,Soricidae,Crocidura,orii,0) Present Natural range identical to IUCN range,None,NA,NA,3,3,0
Crocidura_pachyura,Eulipotyphla,Soricidae,Crocidura,pachyura,"1) Range reductions for species with recent, human-induced range expansions",Deleted from Sardinia.,Species appear absent from fossils older than human arrival.,Version 1.0,20,14,-6
Crocidura_palawanensis,Eulipotyphla,Soricidae,Crocidura,palawanensis,0) Present Natural range identical to IUCN range,None,NA,NA,9,9,0
Crocidura_paradoxura,Eulipotyphla,Soricidae,Crocidura,paradoxura,0) Present Natural range identical to IUCN range,None,NA,NA,32,32,0
Crocidura_parvipes,Eulipotyphla,Soricidae,Crocidura,parvipes,0) Present Natural range identical to IUCN range,None,NA,NA,664,664,0
Crocidura_pasha,Eulipotyphla,Soricidae,Crocidura,pasha,0) Present Natural range identical to IUCN range,None,NA,NA,83,83,0
Crocidura_pergrisea,Eulipotyphla,Soricidae,Crocidura,pergrisea,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Crocidura_phaeura,Eulipotyphla,Soricidae,Crocidura,phaeura,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Crocidura_phanluongi,Eulipotyphla,Soricidae,Crocidura,phanluongi,0) Present Natural range identical to IUCN range,None,NA,NA,7,7,0
Crocidura_phuquocensis,Eulipotyphla,Soricidae,Crocidura,phuquocensis,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Crocidura_picea,Eulipotyphla,Soricidae,Crocidura,picea,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Crocidura_pitmani,Eulipotyphla,Soricidae,Crocidura,pitmani,0) Present Natural range identical to IUCN range,None,NA,NA,7,7,0
Crocidura_planiceps,Eulipotyphla,Soricidae,Crocidura,planiceps,0) Present Natural range identical to IUCN range,None,NA,NA,70,70,0
Crocidura_poensis,Eulipotyphla,Soricidae,Crocidura,poensis,0) Present Natural range identical to IUCN range,None,NA,NA,170,170,0
Crocidura_polia,Eulipotyphla,Soricidae,Crocidura,polia,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Crocidura_pullata,Eulipotyphla,Soricidae,Crocidura,pullata,3) Merger of likely human caused disjunct ranges by filling intervening suitable habitats,Connected via suitable habitat.,Disjunct range likely anthropogenic in cause.,Version 1.0,13,18,5
Crocidura_raineyi,Eulipotyphla,Soricidae,Crocidura,raineyi,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Crocidura_ramona,Eulipotyphla,Soricidae,Crocidura,ramona,0) Present Natural range identical to IUCN range,None,NA,NA,3,3,0
Crocidura_rapax,Eulipotyphla,Soricidae,Crocidura,rapax,3) Merger of likely human caused disjunct ranges by filling intervening suitable habitats,Connected via suitable habitat.,Disjunct range likely anthropogenic in cause.,Version 1.0,58,110,52
Crocidura_religiosa,Eulipotyphla,Soricidae,Crocidura,religiosa,0) Present Natural range identical to IUCN range,None,NA,NA,6,6,0
Crocidura_rhoditis,Eulipotyphla,Soricidae,Crocidura,rhoditis,0) Present Natural range identical to IUCN range,None,NA,NA,30,30,0
Crocidura_roosevelti,Eulipotyphla,Soricidae,Crocidura,roosevelti,0) Present Natural range identical to IUCN range,None,NA,NA,275,275,0
Crocidura_russula,Eulipotyphla,Soricidae,Crocidura,russula,0) Present Natural range identical to IUCN range,None,NA,NA,284,284,0
Crocidura_selina,Eulipotyphla,Soricidae,Crocidura,selina,0) Present Natural range identical to IUCN range,None,NA,NA,10,10,0
Crocidura_serezkyensis,Eulipotyphla,Soricidae,Crocidura,serezkyensis,0) Present Natural range identical to IUCN range,None,NA,NA,62,62,0
Crocidura_shantungensis,Eulipotyphla,Soricidae,Crocidura,shantungensis,0) Present Natural range identical to IUCN range,None,NA,NA,410,410,0
Crocidura_sibirica,Eulipotyphla,Soricidae,Crocidura,sibirica,0) Present Natural range identical to IUCN range,None,NA,NA,718,718,0
Crocidura_sicula,Eulipotyphla,Soricidae,Crocidura,sicula,0) Present Natural range identical to IUCN range,None,NA,NA,9,9,0
Crocidura_silacea,Eulipotyphla,Soricidae,Crocidura,silacea,0) Present Natural range identical to IUCN range,None,NA,NA,61,61,0
Crocidura_smithii,Eulipotyphla,Soricidae,Crocidura,smithii,0) Present Natural range identical to IUCN range,None,NA,NA,40,40,0
Crocidura_sokolovi,Eulipotyphla,Soricidae,Crocidura,sokolovi,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Crocidura_somalica,Eulipotyphla,Soricidae,Crocidura,somalica,0) Present Natural range identical to IUCN range,None,NA,NA,41,41,0
Crocidura_stenocephala,Eulipotyphla,Soricidae,Crocidura,stenocephala,3) Merger of likely human caused disjunct ranges by filling intervening suitable habitats,Connected via suitable habitat.,Disjunct range likely anthropogenic in cause.,Version 1.0,3,5,2
Crocidura_suaveolens,Eulipotyphla,Soricidae,Crocidura,suaveolens,"1) Range reductions for species with recent, human-induced range expansions",Deleted from Menorca and Corsica .,Molecular Ecology 16: 3438-3452 (2007).,Version 1.2,1633,1631,-2
Crocidura_susiana,Eulipotyphla,Soricidae,Crocidura,susiana,0) Present Natural range identical to IUCN range,None,NA,NA,3,3,0
Crocidura_tanakae,Eulipotyphla,Soricidae,Crocidura,tanakae,0) Present Natural range identical to IUCN range,None,NA,NA,42,42,0
Crocidura_tansaniana,Eulipotyphla,Soricidae,Crocidura,tansaniana,0) Present Natural range identical to IUCN range,None,NA,NA,3,3,0
Crocidura_tarella,Eulipotyphla,Soricidae,Crocidura,tarella,3) Merger of likely human caused disjunct ranges by filling intervening suitable habitats,Connected via suitable habitat.,Disjunct range likely anthropogenic in cause.,Version 1.0,3,9,6
Crocidura_tarfayensis,Eulipotyphla,Soricidae,Crocidura,tarfayensis,0) Present Natural range identical to IUCN range,None,NA,NA,52,52,0
Crocidura_telfordi,Eulipotyphla,Soricidae,Crocidura,telfordi,3) Merger of likely human caused disjunct ranges by filling intervening suitable habitats,Connected via suitable habitat.,Disjunct range likely anthropogenic in cause.,Version 1.0,2,4,2
Crocidura_tenuis,Eulipotyphla,Soricidae,Crocidura,tenuis,0) Present Natural range identical to IUCN range,None,NA,NA,10,10,0
Crocidura_thalia,Eulipotyphla,Soricidae,Crocidura,thalia,0) Present Natural range identical to IUCN range,None,NA,NA,33,33,0
Crocidura_theresae,Eulipotyphla,Soricidae,Crocidura,theresae,0) Present Natural range identical to IUCN range,None,NA,NA,52,52,0
Crocidura_thomensis,Eulipotyphla,Soricidae,Crocidura,thomensis,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Crocidura_trichura,Eulipotyphla,Soricidae,Crocidura,trichura,0) Present Natural range identical to IUCN range,None,Added cells coded Extinct or Possibly Extinct by IUCN.,NA,0,2,2
Crocidura_turba,Eulipotyphla,Soricidae,Crocidura,turba,0) Present Natural range identical to IUCN range,None,NA,NA,611,611,0
Crocidura_ultima,Eulipotyphla,Soricidae,Crocidura,ultima,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Crocidura_usambarae,Eulipotyphla,Soricidae,Crocidura,usambarae,0) Present Natural range identical to IUCN range,None,NA,NA,5,5,0
Crocidura_viaria,Eulipotyphla,Soricidae,Crocidura,viaria,0) Present Natural range identical to IUCN range,None,NA,NA,996,996,0
Crocidura_virgata,Eulipotyphla,Soricidae,Crocidura,virgata,3) Merger of likely human caused disjunct ranges by filling intervening suitable habitats,Connected via suitable habitat.,Disjunct range likely anthropogenic in cause.,Version 1.2,5,15,10
Crocidura_voi,Eulipotyphla,Soricidae,Crocidura,voi,0) Present Natural range identical to IUCN range,None,NA,NA,407,407,0
Crocidura_vorax,Eulipotyphla,Soricidae,Crocidura,vorax,0) Present Natural range identical to IUCN range,None,NA,NA,170,170,0
Crocidura_vosmaeri,Eulipotyphla,Soricidae,Crocidura,vosmaeri,0) Present Natural range identical to IUCN range,None,NA,NA,5,5,0
Crocidura_watasei,Eulipotyphla,Soricidae,Crocidura,watasei,0) Present Natural range identical to IUCN range,None,NA,NA,9,9,0
Crocidura_whitakeri,Eulipotyphla,Soricidae,Crocidura,whitakeri,0) Present Natural range identical to IUCN range,None,NA,NA,133,133,0
Crocidura_wimmeri,Eulipotyphla,Soricidae,Crocidura,wimmeri,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Crocidura_wuchihensis,Eulipotyphla,Soricidae,Crocidura,wuchihensis,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Crocidura_xantippe,Eulipotyphla,Soricidae,Crocidura,xantippe,0) Present Natural range identical to IUCN range,None,NA,NA,9,9,0
Crocidura_yankariensis,Eulipotyphla,Soricidae,Crocidura,yankariensis,0) Present Natural range identical to IUCN range,None,NA,NA,206,206,0
Crocidura_zaitsevi,Eulipotyphla,Soricidae,Crocidura,zaitsevi,3) Merger of likely human caused disjunct ranges by filling intervening suitable habitats,The three populations connected as a line.,Disjunct range likely anthropogenic in cause.,Version 1.2,8,14,6
Crocidura_zaphiri,Eulipotyphla,Soricidae,Crocidura,zaphiri,0) Present Natural range identical to IUCN range,None,NA,NA,6,6,0
Crocidura_zarudnyi,Eulipotyphla,Soricidae,Crocidura,zarudnyi,0) Present Natural range identical to IUCN range,None,NA,NA,85,85,0
Crocidura_zimmeri,Eulipotyphla,Soricidae,Crocidura,zimmeri,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Crocidura_zimmermanni,Eulipotyphla,Soricidae,Crocidura,zimmermanni,0) Present Natural range identical to IUCN range,None,NA,NA,6,6,0
Crocuta_crocuta,Carnivora,Hyaenidae,Crocuta,crocuta,"5) Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range","Added historic range in Ray, Justina C. Lyke Hunter and Joanna Zigouris (2005). Setting Conservation and Research Priorities for Larger African Carnivores. WCS Working Paper no 24. Wildlife Conservation Society, New York and predicted European range from Quaternary Science Reviews 29: 2027-2035 (2010). Added suitable range in Asia and Northern Africa, although not areas with more than 1600 mm of rain since the species is missing from rainforests.","Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range.",Version 1.0,1758,5248,3490
Crossarchus_alexandri,Carnivora,Herpestidae,Crossarchus,alexandri,0) Present Natural range identical to IUCN range,None,NA,NA,184,184,0
Crossarchus_ansorgei,Carnivora,Herpestidae,Crossarchus,ansorgei,0) Present Natural range identical to IUCN range,None,NA,NA,86,86,0
Crossarchus_obscurus,Carnivora,Herpestidae,Crossarchus,obscurus,0) Present Natural range identical to IUCN range,None,NA,NA,83,83,0
Crossarchus_platycephalus,Carnivora,Herpestidae,Crossarchus,platycephalus,0) Present Natural range identical to IUCN range,None,NA,NA,86,86,0
Crossomys_moncktoni,Rodentia,Muridae,Crossomys,moncktoni,0) Present Natural range identical to IUCN range,None,NA,NA,33,33,0
Crunomys_celebensis,Rodentia,Muridae,Crunomys,celebensis,0) Present Natural range identical to IUCN range,None,NA,NA,7,7,0
Crunomys_fallax,Rodentia,Muridae,Crunomys,fallax,0) Present Natural range identical to IUCN range,None,NA,NA,5,5,0
Crunomys_melanius,Rodentia,Muridae,Crunomys,melanius,0) Present Natural range identical to IUCN range,None,NA,NA,12,12,0
Crunomys_suncoides,Rodentia,Muridae,Crunomys,suncoides,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Cryptochloris_wintoni,Afrosoricida,Chrysochloridae,Cryptochloris,wintoni,0) Present Natural range identical to IUCN range,None,Added cells coded Extinct or Possibly Extinct by IUCN.,NA,0,1,1
Cryptochloris_zyli,Afrosoricida,Chrysochloridae,Cryptochloris,zyli,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Cryptomys_hottentotus,Rodentia,Bathyergidae,Cryptomys,hottentotus,0) Present Natural range identical to IUCN range,None,NA,NA,136,136,0
Cryptonanus_agricolai,Didelphimorphia,Didelphidae,Cryptonanus,agricolai,0) Present Natural range identical to IUCN range,None,NA,NA,156,156,0
Cryptonanus_chacoensis,Didelphimorphia,Didelphidae,Cryptonanus,chacoensis,0) Present Natural range identical to IUCN range,None,NA,NA,128,128,0
Cryptonanus_guahybae,Didelphimorphia,Didelphidae,Cryptonanus,guahybae,0) Present Natural range identical to IUCN range,None,NA,NA,9,9,0
Cryptonanus_ignitus,Didelphimorphia,Didelphidae,Cryptonanus,ignitus,2) Range expansions based on other sources for species with known range declines,Historic range estimated based on written information.,IUCN.,Version 1.0,0,62,62
Cryptonanus_unduaviensis,Didelphimorphia,Didelphidae,Cryptonanus,unduaviensis,0) Present Natural range identical to IUCN range,None,NA,NA,52,52,0
Cryptoprocta_ferox,Carnivora,Eupleridae,Cryptoprocta,ferox,"5) Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range",Range expanded to suitable areas on inhabited island.,"Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range.",Version 1.0,88,91,3
Cryptoprocta_spelea,Carnivora,Eupleridae,Cryptoprocta,spelea,8) Unique species-specific modifications in special cases,Range set as any part of the island estimated as suitable for any species above 10 kg which is outside the maximum prey size of the extant species which is estimated as 6 kg  following  Zoosystema 26: 129-143 (2004).,Unique species-specific modifications in special cases.,Version 1.0,0,90,90
Cryptotis_alticola,Eulipotyphla,Soricidae,Cryptotis,alticola,0) Present Natural range identical to IUCN range,None,NA,NA,23,23,0
Cryptotis_brachyonyx,Eulipotyphla,Soricidae,Cryptotis,brachyonyx,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Cryptotis_colombiana,Eulipotyphla,Soricidae,Cryptotis,colombiana,0) Present Natural range identical to IUCN range,None,NA,NA,3,3,0
Cryptotis_endersi,Eulipotyphla,Soricidae,Cryptotis,endersi,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Cryptotis_equatoris,Eulipotyphla,Soricidae,Cryptotis,equatoris,0) Present Natural range identical to IUCN range,None,NA,NA,13,13,0
Cryptotis_goldmani,Eulipotyphla,Soricidae,Cryptotis,goldmani,0) Present Natural range identical to IUCN range,None,NA,NA,15,15,0
Cryptotis_goodwini,Eulipotyphla,Soricidae,Cryptotis,goodwini,0) Present Natural range identical to IUCN range,None,NA,NA,14,14,0
Cryptotis_gracilis,Eulipotyphla,Soricidae,Cryptotis,gracilis,0) Present Natural range identical to IUCN range,None,NA,NA,7,7,0
Cryptotis_griseoventris,Eulipotyphla,Soricidae,Cryptotis,griseoventris,0) Present Natural range identical to IUCN range,None,NA,NA,7,7,0
Cryptotis_hondurensis,Eulipotyphla,Soricidae,Cryptotis,hondurensis,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Cryptotis_magna,Eulipotyphla,Soricidae,Cryptotis,magna,0) Present Natural range identical to IUCN range,None,NA,NA,6,6,0
Cryptotis_mayensis,Eulipotyphla,Soricidae,Cryptotis,mayensis,0) Present Natural range identical to IUCN range,None,NA,NA,28,28,0
Cryptotis_medellinia,Eulipotyphla,Soricidae,Cryptotis,medellinia,0) Present Natural range identical to IUCN range,None,NA,NA,7,7,0
Cryptotis_mera,Eulipotyphla,Soricidae,Cryptotis,mera,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Cryptotis_meridensis,Eulipotyphla,Soricidae,Cryptotis,meridensis,0) Present Natural range identical to IUCN range,None,NA,NA,7,7,0
Cryptotis_merriami,Eulipotyphla,Soricidae,Cryptotis,merriami,0) Present Natural range identical to IUCN range,None,NA,NA,26,26,0
Cryptotis_mexicana,Eulipotyphla,Soricidae,Cryptotis,mexicana,0) Present Natural range identical to IUCN range,None,NA,NA,15,15,0
Cryptotis_montivaga,Eulipotyphla,Soricidae,Cryptotis,montivaga,0) Present Natural range identical to IUCN range,None,NA,NA,10,10,0
Cryptotis_nelsoni,Eulipotyphla,Soricidae,Cryptotis,nelsoni,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Cryptotis_nigrescens,Eulipotyphla,Soricidae,Cryptotis,nigrescens,0) Present Natural range identical to IUCN range,None,NA,NA,13,13,0
Cryptotis_obscura,Eulipotyphla,Soricidae,Cryptotis,obscura,3) Merger of likely human caused disjunct ranges by filling intervening suitable habitats,Connected via suitable habitat.,Disjunct range likely anthropogenic in cause.,Version 1.0,7,8,1
Cryptotis_orophila,Eulipotyphla,Soricidae,Cryptotis,orophila,0) Present Natural range identical to IUCN range,None,NA,NA,23,23,0
Cryptotis_parva,Eulipotyphla,Soricidae,Cryptotis,parva,0) Present Natural range identical to IUCN range,None,NA,NA,551,551,0
Cryptotis_peregrina,Eulipotyphla,Soricidae,Cryptotis,peregrina,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Cryptotis_peruviensis,Eulipotyphla,Soricidae,Cryptotis,peruviensis,0) Present Natural range identical to IUCN range,None,NA,NA,5,5,0
Cryptotis_phillipsii,Eulipotyphla,Soricidae,Cryptotis,phillipsii,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Cryptotis_squamipes,Eulipotyphla,Soricidae,Cryptotis,squamipes,0) Present Natural range identical to IUCN range,None,NA,NA,15,15,0
Cryptotis_tamensis,Eulipotyphla,Soricidae,Cryptotis,tamensis,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Cryptotis_thomasi,Eulipotyphla,Soricidae,Cryptotis,thomasi,0) Present Natural range identical to IUCN range,None,NA,NA,13,13,0
Cryptotis_tropicalis,Eulipotyphla,Soricidae,Cryptotis,tropicalis,0) Present Natural range identical to IUCN range,None,NA,NA,21,21,0
Ctenodactylus_gundi,Rodentia,Ctenodactylidae,Ctenodactylus,gundi,0) Present Natural range identical to IUCN range,None,NA,NA,37,37,0
Ctenodactylus_vali,Rodentia,Ctenodactylidae,Ctenodactylus,vali,0) Present Natural range identical to IUCN range,None,NA,NA,18,18,0
Ctenomys_argentinus,Rodentia,Ctenomyidae,Ctenomys,argentinus,0) Present Natural range identical to IUCN range,None,NA,NA,8,8,0
Ctenomys_australis,Rodentia,Ctenomyidae,Ctenomys,australis,0) Present Natural range identical to IUCN range,None,NA,NA,6,6,0
Ctenomys_azarae,Rodentia,Ctenomyidae,Ctenomys,azarae,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Ctenomys_bergi,Rodentia,Ctenomyidae,Ctenomys,bergi,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Ctenomys_boliviensis,Rodentia,Ctenomyidae,Ctenomys,boliviensis,0) Present Natural range identical to IUCN range,None,NA,NA,31,31,0
Ctenomys_bonettoi,Rodentia,Ctenomyidae,Ctenomys,bonettoi,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Ctenomys_brasiliensis,Rodentia,Ctenomyidae,Ctenomys,brasiliensis,0) Present Natural range identical to IUCN range,None,NA,NA,33,33,0
Ctenomys_budini,Rodentia,Ctenomyidae,Ctenomys,budini,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Ctenomys_colburni,Rodentia,Ctenomyidae,Ctenomys,colburni,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Ctenomys_coludo,Rodentia,Ctenomyidae,Ctenomys,coludo,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Ctenomys_conoveri,Rodentia,Ctenomyidae,Ctenomys,conoveri,0) Present Natural range identical to IUCN range,None,NA,NA,21,21,0
Ctenomys_coyhaiquensis,Rodentia,Ctenomyidae,Ctenomys,coyhaiquensis,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Ctenomys_dorbignyi,Rodentia,Ctenomyidae,Ctenomys,dorbignyi,0) Present Natural range identical to IUCN range,None,NA,NA,6,6,0
Ctenomys_dorsalis,Rodentia,Ctenomyidae,Ctenomys,dorsalis,0) Present Natural range identical to IUCN range,None,NA,NA,6,6,0
Ctenomys_emilianus,Rodentia,Ctenomyidae,Ctenomys,emilianus,0) Present Natural range identical to IUCN range,None,NA,NA,5,5,0
Ctenomys_famosus,Rodentia,Ctenomyidae,Ctenomys,famosus,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Ctenomys_flamarioni,Rodentia,Ctenomyidae,Ctenomys,flamarioni,0) Present Natural range identical to IUCN range,None,NA,NA,7,7,0
Ctenomys_fochi,Rodentia,Ctenomyidae,Ctenomys,fochi,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Ctenomys_fodax,Rodentia,Ctenomyidae,Ctenomys,fodax,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Ctenomys_frater,Rodentia,Ctenomyidae,Ctenomys,frater,0) Present Natural range identical to IUCN range,None,NA,NA,8,8,0
Ctenomys_fulvus,Rodentia,Ctenomyidae,Ctenomys,fulvus,0) Present Natural range identical to IUCN range,None,NA,NA,25,25,0
Ctenomys_goodfellowi,Rodentia,Ctenomyidae,Ctenomys,goodfellowi,0) Present Natural range identical to IUCN range,None,NA,NA,8,8,0
Ctenomys_haigi,Rodentia,Ctenomyidae,Ctenomys,haigi,0) Present Natural range identical to IUCN range,None,NA,NA,12,12,0
Ctenomys_johannis,Rodentia,Ctenomyidae,Ctenomys,johannis,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Ctenomys_juris,Rodentia,Ctenomyidae,Ctenomys,juris,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Ctenomys_knighti,Rodentia,Ctenomyidae,Ctenomys,knighti,0) Present Natural range identical to IUCN range,None,NA,NA,7,7,0
Ctenomys_lami,Rodentia,Ctenomyidae,Ctenomys,lami,0) Present Natural range identical to IUCN range,None,NA,NA,5,5,0
Ctenomys_latro,Rodentia,Ctenomyidae,Ctenomys,latro,0) Present Natural range identical to IUCN range,None,NA,NA,5,5,0
Ctenomys_leucodon,Rodentia,Ctenomyidae,Ctenomys,leucodon,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Ctenomys_lewisi,Rodentia,Ctenomyidae,Ctenomys,lewisi,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Ctenomys_magellanicus,Rodentia,Ctenomyidae,Ctenomys,magellanicus,0) Present Natural range identical to IUCN range,None,NA,NA,23,23,0
Ctenomys_maulinus,Rodentia,Ctenomyidae,Ctenomys,maulinus,0) Present Natural range identical to IUCN range,None,NA,NA,14,14,0
Ctenomys_mendocinus,Rodentia,Ctenomyidae,Ctenomys,mendocinus,0) Present Natural range identical to IUCN range,None,NA,NA,24,24,0
Ctenomys_minutus,Rodentia,Ctenomyidae,Ctenomys,minutus,0) Present Natural range identical to IUCN range,None,NA,NA,27,27,0
Ctenomys_occultus,Rodentia,Ctenomyidae,Ctenomys,occultus,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Ctenomys_opimus,Rodentia,Ctenomyidae,Ctenomys,opimus,0) Present Natural range identical to IUCN range,None,NA,NA,56,56,0
Ctenomys_osvaldoreigi,Rodentia,Ctenomyidae,Ctenomys,osvaldoreigi,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Ctenomys_pearsoni,Rodentia,Ctenomyidae,Ctenomys,pearsoni,0) Present Natural range identical to IUCN range,None,NA,NA,10,10,0
Ctenomys_perrensi,Rodentia,Ctenomyidae,Ctenomys,perrensi,0) Present Natural range identical to IUCN range,None,NA,NA,15,15,0
Ctenomys_peruanus,Rodentia,Ctenomyidae,Ctenomys,peruanus,0) Present Natural range identical to IUCN range,None,NA,NA,3,3,0
Ctenomys_pilarensis,Rodentia,Ctenomyidae,Ctenomys,pilarensis,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Ctenomys_pontifex,Rodentia,Ctenomyidae,Ctenomys,pontifex,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Ctenomys_porteousi,Rodentia,Ctenomyidae,Ctenomys,porteousi,0) Present Natural range identical to IUCN range,None,NA,NA,8,8,0
Ctenomys_pundti,Rodentia,Ctenomyidae,Ctenomys,pundti,0) Present Natural range identical to IUCN range,None,NA,NA,5,5,0
Ctenomys_rionegrensis,Rodentia,Ctenomyidae,Ctenomys,rionegrensis,0) Present Natural range identical to IUCN range,None,NA,NA,5,5,0
Ctenomys_roigi,Rodentia,Ctenomyidae,Ctenomys,roigi,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Ctenomys_saltarius,Rodentia,Ctenomyidae,Ctenomys,saltarius,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Ctenomys_scagliai,Rodentia,Ctenomyidae,Ctenomys,scagliai,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Ctenomys_sericeus,Rodentia,Ctenomyidae,Ctenomys,sericeus,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Ctenomys_sociabilis,Rodentia,Ctenomyidae,Ctenomys,sociabilis,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Ctenomys_steinbachi,Rodentia,Ctenomyidae,Ctenomys,steinbachi,0) Present Natural range identical to IUCN range,None,NA,NA,6,6,0
Ctenomys_sylvanus,Rodentia,Ctenomyidae,Ctenomys,sylvanus,0) Present Natural range identical to IUCN range,None,NA,NA,6,6,0
Ctenomys_talarum,Rodentia,Ctenomyidae,Ctenomys,talarum,0) Present Natural range identical to IUCN range,None,NA,NA,24,24,0
Ctenomys_torquatus,Rodentia,Ctenomyidae,Ctenomys,torquatus,0) Present Natural range identical to IUCN range,None,NA,NA,40,40,0
Ctenomys_tuconax,Rodentia,Ctenomyidae,Ctenomys,tuconax,0) Present Natural range identical to IUCN range,None,NA,NA,3,3,0
Ctenomys_tucumanus,Rodentia,Ctenomyidae,Ctenomys,tucumanus,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Ctenomys_tulduco,Rodentia,Ctenomyidae,Ctenomys,tulduco,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Ctenomys_validus,Rodentia,Ctenomyidae,Ctenomys,validus,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Ctenomys_viperinus,Rodentia,Ctenomyidae,Ctenomys,viperinus,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Ctenomys_yolandae,Rodentia,Ctenomyidae,Ctenomys,yolandae,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Cuniculus_paca,Rodentia,Cuniculidae,Cuniculus,paca,0) Present Natural range identical to IUCN range,None,NA,NA,1595,1595,0
Cuniculus_taczanowskii,Rodentia,Cuniculidae,Cuniculus,taczanowskii,0) Present Natural range identical to IUCN range,None,NA,NA,105,105,0
Cuon_alpinus,Carnivora,Canidae,Cuon,alpinus,"5) Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range",Range expanded to suitable areas connected to current range and to suitable areas in North America north of the range of Speothos vetulus which is the northernmost American Canid where former coexistence is not known. Range also expanded to suitable areas of Sri Lanka given fossil evidence on the island (The Raffles Bulletin of Zoology 2005 Supplement No. 12: 423-434).,"Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range.",Version 1.2,619,7244,6625
