Rank,Order.1.2,Family.1.2,Binomial.1.2,Diet,Mass
65,Rodentia,Cricetidae,Pliomys_lenki,Missing,Missing
66,Chiroptera,Emballonuridae,Peropteryx_pallidoptera,Recorded,Missing
67,Rodentia,Echimyidae,Thrichomys_laurentius,Missing,Recorded
68,Rodentia,Ctenomyidae,Ctenomys_rionegrensis,Recorded,Missing
69,Peramelemorphia,Peramelidae,PeroryctinaeGen_spA,Missing,Recorded
70,Rodentia,Cricetidae,Oxymycterus_dasytrichus,Missing,Missing
71,Rodentia,Muridae,Myomyscus_angolensis,Recorded,Missing
72,Rodentia,Echimyidae,Mesomys_leniceps,Missing,Recorded
73,Cetartiodactyla,Cervidae,Navahoceros_fricki,Missing,Missing
74,Rodentia,Echimyidae,Mesomys_occultus,Missing,Recorded
75,Eulipotyphla,Soricidae,Crocidura_aleksandrisi,Recorded,Missing
76,Chiroptera,Mormoopidae,Mormoops_magna,Missing,Recorded
77,Eulipotyphla,Soricidae,Suncus_hosei,Recorded,Missing
78,Perissodactyla,Tapiridae,Tapirus_rondoniensis,Missing,Recorded
79,Carnivora,Procyonidae,Bassaricyon_neblina,Missing,Missing
80,Rodentia,Echimyidae,Capromys_garridoi,Missing,Recorded
81,Rodentia,Cricetidae,Eothenomys_miletus,Missing,Missing
82,Eulipotyphla,Soricidae,Megasorex_gigas,Missing,Recorded
83,Rodentia,Cricetidae,Eothenomys_cachinus,Missing,Missing
84,Primates,Archaeolemuridae,Archaeolemur_majori,Missing,Recorded
85,Chiroptera,Phyllostomidae,Desmodus_stocki,Missing,Recorded
86,Rodentia,Echimyidae,Geocapromys_spA,Missing,Recorded
87,Eulipotyphla,Soricidae,Anourosorex_schmidi,Missing,Recorded
88,Eulipotyphla,Soricidae,Suncus_fellowesgordoni,Recorded,Missing
89,Rodentia,Cricetidae,Ellobius_tancrei,Recorded,Missing
90,Eulipotyphla,Soricidae,Anourosorex_yamashinai,Missing,Recorded
91,Afrosoricida,Tenrecidae,Microgale_grandidieri,Missing,Missing
92,Eulipotyphla,Soricidae,Anourosorex_assamensis,Missing,Recorded
93,Rodentia,Echimyidae,Mysateles_melanurus,Missing,Recorded
94,Rodentia,Muridae,Taterillus_congicus,Recorded,Missing
95,Rodentia,Dipodidae,Jaculus_thaleri,Missing,Missing
96,Rodentia,Muridae,Carpomys_phaeurus,Missing,Recorded
97,Rodentia,Muridae,Carpomys_melanurus,Missing,Recorded
98,Rodentia,Cricetidae,Ellobius_alaicus,Recorded,Missing
99,Chiroptera,Molossidae,Molossus_alvarezi,Recorded,Missing
100,Lagomorpha,Ochotonidae,Ochotona_opaca,Missing,Missing
101,Rodentia,Echimyidae,Makalata_obscura,Missing,Recorded
102,Cetartiodactyla,Tayassuidae,Muknalia_minima,Missing,Recorded
103,Primates,Atelidae,Caipora_bambuiorum,Missing,Recorded
104,Primates,Atelidae,Protopithecus_brasiliensis,Missing,Recorded
105,Eulipotyphla,Soricidae,Suncus_hututsi,Missing,Missing
106,Primates,Cebidae,Cebus_cesarae,Missing,Missing
107,Cetartiodactyla,Tragulidae,Moschiola_kathygre,Missing,Recorded
108,Rodentia,Echimyidae,Mesocapromys_sanfelipensis,Missing,Recorded
109,Diprotodontia,Phalangeridae,Phalanger_matabiru,Recorded,Missing
110,Rodentia,Echimyidae,Mesocapromys_nanus,Missing,Recorded
111,Rodentia,Muridae,Taterillus_lacustris,Recorded,Missing
112,Perissodactyla,Equidae,Equus_francisci,Missing,Recorded
113,Rodentia,Nesomyidae,Gymnuromys_roberti,Missing,Recorded
114,Primates,Cebidae,Cebus_versicolor,Missing,Missing
115,Primates,Cheirogaleidae,Microcebus_marohita,Missing,Missing
116,Rodentia,Echimyidae,Olallamys_albicauda,Missing,Recorded
117,Primates,Pitheciidae,Antillothrix_bernensis,Missing,Recorded
118,Pilosa,Megatheriidae,Megatherium_tarijense,Missing,Recorded
119,Primates,Pitheciidae,Insulacebus_toussaintiana,Missing,Recorded
120,Primates,Cebidae,Cebus_malitiosus,Missing,Missing
121,Rodentia,Muridae,Vernaya_fulva,Missing,Recorded
122,Chiroptera,Molossidae,Eumops_wilsoni,Recorded,Missing
123,Afrosoricida,Tenrecidae,Plesiorycteropus_madagascariensis,Missing,Recorded
